,tag,component,text
0,T1,background_claim 2417 2522,"complicated 3D character models are widely used in fields of entertainment, virtual reality, medicine etc"
1,T2,background_claim 2524 2640,The range of breathtaking realistic 3D models is only limited by the creativity of artists and resolution of devices
2,T4,background_claim 2855 2897,a production cannot afford major revisions
3,T5,own_claim 2961 3041,providing a flexible and efficient solution to animation remains an open problem
5,T6,background_claim 3211 3307,Skeleton Subspace Deformation (SSD) is the predominant approach to character skinning at present
6,T3,background_claim 2642 2709,Driving 3D models in a natural and believable manner is not trivial
7,T7,data 3433 3459,its ease of implementation
8,T8,data 3464 3485,low cost of computing
9,T9,background_claim 3349 3425,"SSD is widely used in games, virtual reality and other realtime applications"
12,T10,background_claim 3702 3787,artists will edit the geometry of characters in the rest pose to fine-tune animations
13,T11,background_claim 3789 3826,This approach is not commonly applied
14,T12,background_claim 3843 3899,editing in the rest pose will influence most other poses
17,T13,background_claim 3919 3991,SSD is also notorious for artifacts at rotating elbows and extreme poses
18,T14,background_claim 4186 4299,Example based skinning methods such as Pose Space Deformation (PSD) are candidates for correcting SSD limitations
19,T15,background_claim 4555 4610,PSD may be used as a compensation to the underlying SSD
20,T16,background_claim 4616 4688,the animator specifies the PSD examples after the SSD has been performed
21,T17,background_claim 4720 4804,"the examples are best interpolated in the rest pose, before the SSD has been applied"
24,T18,background_claim 4816 4949,the action of the SSD and any other deformations must be “inverted” in order to push the example compensation before these operations
26,T19,background_claim 5264 5326,SSD is the most representative in the family of basic skinning
27,T20,own_claim 5510 5591,this inverse strategy has a better performance than the same framework without it
28,T21,own_claim 5866 5919,this approach will improve the quality of deformation
30,T22,background_claim 6489 6540,they are seldom applied to interactive applications
31,T23,data 6552 6578,the high cost of computing
32,T24,data 6583 6605,complicated algorithms
35,T25,background_claim 6385 6483,this category can generate more believable animation effects compared to its geometric counterpart
37,T26,background_claim 6662 6684,Pose Space Deformation
38,T27,background_claim 6692 6855,combines shape blending and Skeleton Subspace Deformation by formulating a scattered data interpolation problem over sculpted (or otherwise obtained) example poses
40,T28,data 6686 6691,[ 1 ]
42,T29,background_claim 7666 7750,Related research efforts have improved the speed and power of example-based skinning
43,T30,background_claim 7759 7840,incorporate linear elements into RBF to produce constant changes between examples
44,T31,data 7752 7757,[ 2 ]
47,T32,background_claim 7848 7988,precompute principal components of the deformation influences for individual kinematic joints instead of storing displacements for key poses
48,T33,background_claim 7998 8078,enabling realtime rendering large nonlinear finite element models of human hands
49,T34,data 7842 7847,[ 3 ]
53,T35,background_claim 8086 8172,introduce weighted pose space deformation for deforming realistic models of human hand
54,T36,data 8080 8085,[ 4 ]
57,T37,background_claim 8356 8447,these example-based approaches can be considered as non-parametric skin deformation methods
58,T38,background_claim 8196 8297,identifies statistically relevant bones and approximates bone transforms from example mesh animations
59,T39,data 8190 8195,[ 5 ]
62,T40,background_claim 8684 8737,these have also seen some development in recent years
63,T41,data 8738 8743,[ 6 ]
64,T42,data 8745 8750,[ 7 ]
67,T43,background_claim 8870 8927,are also common practices in the entertainment production
68,T44,background_claim 8752 8785,Skinning using free form lattices
69,T45,background_claim 8802 8814,NURBS curves
72,T46,data 8815 8821,[ 10 ]
73,T47,data 8786 8791,[ 8 ]
74,T48,data 8793 8798,[ 9 ]
78,T49,own_claim 9263 9308,the inverse operation can improve the results
79,T50,own_claim 9590 9619,inverse operation is required
81,T51,background_claim 10442 10525,SSD is widely applied to interactive applications such as games and virtual reality
82,T52,background_claim 10531 10586,it is implemented in most commercial animation packages
83,T53,data 10411 10425,its simplicity
84,T54,data 10430 10440,efficiency
89,T55,background_claim 12084 12179,SSD is very popular in circumstances that require animating a number of characters in real time
90,T56,data 12014 12082,vertex transformations can be easily implemented in the graphic card
92,T57,background_claim 12335 12494,the domain of adjusting one vertex in this way is strictly limited to the linear subspace formed by the vertex as transformed by joints influencing this vertex
93,T58,background_claim 12243 12329,"When a character goes wrong in some pose, animators can adjust joint influence weights"
95,T59,background_claim 12741 12832,SSD cannot synthesize many parts of a character skin involving complicated joint structures
96,T60,background_claim 12671 12712,deforming is limited to a linear subspace
97,T61,data 12634 12639,[ 1 ]
100,T62,background_claim 12917 13008,a combination of SSD and shape blending providing nice solution to above mentioned problems
101,T63,data 12908 12913,[ 1 ]
103,T64,background_claim 14983 15062,PSD and improved example-based schemes have been discussed in many publications
104,T65,data 15064 15069,[ 2 ]
105,T66,data 15071 15076,[ 3 ]
106,T67,data 15078 15083,[ 4 ]
107,T68,own_claim 15086 15151,the reason why the inverse should be performed is still ambiguous
112,T69,own_claim 15220 15338,inverting the SSD (and other deformations) in order to interpolate the examples in the rest pose is a the right choice
114,T70,own_claim 15478 15498,it is an improvement
116,T71,own_claim 15754 15791,the superiority of the inverse method
119,T72,own_claim 16991 17058,SSD −1 simply is the inverse transformation matrix generated by SSD
120,T73,data 16963 16989,SSD is a 3D transformation
122,T74,own_claim 17950 17980,the inverse method is superior
124,T75,background_claim 19098 19196,Taking the model in rest pose as an example is a common practice when applying shape interpolation
125,T76,background_claim 19204 19295,interpolating effects from other examples should not change the original model in rest pose
127,T77,own_claim 19334 19603,"we have: ω 1x = φ 11 −1 d 1x + φ 12 −1 d 2x = φ 12 −1 d 2x ω 2x = φ 21 −1 d 1x + φ 22 −1 d 2x = φ 22 −1 d 2x = d 2x ω 1y = φ 11 −1 d 1y + φ 12 −1 d 2y = φ 12 −1 d 2y ω 2y = φ 21 −1 d 1y + φ 22 −1 d 2y = φ 22 −1 d 2y = d 2y where φ i −1 j is the (i, j)th element of Φ −1"
129,T78,own_claim 20353 20469,we simplify SSD as a rotation transformation ignoring other issues such as accumulating effects from the first joint
